r,P,payback_time
r0.023,p112000,pt15
r0.045,p132000,pt14
r0.013,p116000,pt13
r0.03,p104000,pt17
r0.02,p113000,pt14
r0.02,p147000,pt11
r0.025,p144000,pt11
r0.018,p118000,pt13
r0.005,p123000,pt12
r0.02,p139000,pt11
r0.02,p134000,pt12
r0.048,p138000,pt14
r0.02,p132000,pt12
r0.02,p105000,pt15
r0.015,p119000,pt13
r0.027,p126000,pt13
r0.026,p96000,pt18
r0.032,p111000,pt16
r0.007,p132000,pt11
r0.023,p134000,pt12
r0.007,p116000,pt13
r0.02,p95000,pt17
r0.02,p108000,pt15
r0.01,p130000,pt12
r0.023,p120000,pt14
r0.028,p136000,pt12
r0.03,p102000,pt18
r0.02,p102000,pt16
r0.016,p111000,pt14
r0.025,p132000,pt12
r0.01,p121000,pt12
r0.02,p149000,pt11
r0.02,p111000,pt15
r0.062,p121000,pt20
r0.013,p130000,pt12
r0.01,p125000,pt12
r0.02,p115000,pt14
r0.02,p131000,pt12
r0.067,p118000,pt23
r0.01,p129000,pt12
r0.027,p130000,pt13
r0.02,p125000,pt13
r0.02,p127000,pt13
r0.025,p140000,pt12
r0.016,p96000,pt17
r0.023,p131000,pt12
r0.05,p124000,pt16
r0.016,p141000,pt11
r0.035,p124000,pt14
r0.043,p136000,pt14
r0.038,p128000,pt14
r0.02,p118000,pt14
r0.02,p93000,pt18
r0.023,p123000,pt13
r0.007,p102000,pt14
r0.027,p89000,pt20
r0.043,p123000,pt16
r0.025,p139000,pt12
r0.02,p116000,pt14
r0.06,p132000,pt17
r0.055,p131000,pt16
r0.013,p120000,pt13
r0.045,p140000,pt13
r0.042,p102000,pt20
r0.023,p123000,pt13
r0.032,p106000,pt17
r0.016,p113000,pt14
r0.043,p127000,pt15
r0.005,p112000,pt13
r0.025,p136000,pt12
r0.025,p109000,pt15
r0.025,p122000,pt14
r0.027,p121000,pt14
r0.007,p110000,pt13
r0.027,p110000,pt16
r0.01,p126000,pt12
r0.02,p123000,pt13
r0.01,p134000,pt11
r0.025,p125000,pt13
r0.032,p105000,pt17
r0.065,p124000,pt20
r0.023,p133000,pt12
r0.023,p127000,pt13
r0.02,p129000,pt12
r0.016,p108000,pt15
r0.013,p111000,pt14
r0.032,p132000,pt13
r0.026,p97000,pt18
r0.016,p109000,pt14
r0.021,p132000,pt12
