FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-04;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-05;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-06;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-07;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-08;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-09;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-10;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-11;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004-12;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-01;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-02;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-03;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-04;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-05;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-06;1,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-07;2;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-08;2;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005-09;2;;
